steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
1210,102.858,0,36.1150016784668,0.4266411370851607,0.18659511956935235,185.82608032226562,-216.31800842285156,7007.66259765625,13.635000228881836,0.0,1.0,4,53319,-12.990883827209473,-0.3404735326766968,33.69590759277344,-0.39943575859069824,-0.002656784141436219,-0.3941866457462311,-0.04972212761640549,0,4032.2757462529116,0.0,0.05041425197850913,1.0,-1.0,-0.2774808704853058,0.8793750405311584,-0.6652848720550537,2625,0.0
1211,102.9,0,36.32059097290039,0.42747845141847307,0.23041035490242093,185.29556274414062,-214.9701690673828,6965.77392578125,34.42499923706055,0.0,1.0,4,53323,-13.56523323059082,-0.3262854516506195,33.69070053100586,-0.4144150912761688,-0.0019058379111811519,-0.3650289475917816,-0.053577180951833725,0,4033.8038637420977,0.0,0.12742840766441077,1.0,-1.0,0.5776061415672302,0.15624473989009857,-0.6906099915504456,2626,0.0
1212,102.939,0,36.49848175048828,0.4279843298504984,0.27391416507968214,184.740966796875,-213.6193389892578,6984.7451171875,11.610000610351562,0.0,1.0,4,53327,-14.094127655029297,-0.31188109517097473,33.66596984863281,-0.4269011914730072,-0.0016355806728824973,-0.28079745173454285,0.028482073917984962,0,4035.2266056541994,0.0,0.04295356839429587,1.0,-1.0,-0.6335612535476685,0.1814700961112976,-0.656571090221405,2627,0.0
1213,102.978,0,36.651275634765625,0.42830832711231487,0.31395852683385916,184.16690063476562,-212.27369689941406,7057.677734375,16.874998092651367,0.0,1.0,4,53331,-14.606461524963379,-0.28465139865875244,33.6137809753418,-0.4386514127254486,-0.004674593918025494,-0.29176706075668335,-0.003443141933530569,0,4036.6551826959767,0.0,0.06241152703296393,1.0,-1.0,0.14593468606472015,0.6883984804153442,-0.7570282220840454,2628,0.0
1214,103.02,0,36.83363342285156,0.4289799847788939,0.35357946216745095,183.5711669921875,-210.92831420898438,7070.916015625,23.850000381469727,0.0,1.0,4,53335,-15.163211822509766,-0.25811490416526794,33.56675338745117,-0.45100462436676025,-0.006422132253646851,-0.3279264271259308,-0.0699952095746994,0,4038.2028650317225,0.0,0.08827569230925292,1.0,-1.0,0.19398123025894165,0.37304678559303284,-0.464402973651886,2629,0.0
1215,103.059,0,37.01723098754883,0.42956088898021677,0.3956504168368369,182.95277404785156,-209.5848846435547,7064.2041015625,14.894999504089355,0.0,1.0,4,53339,-15.714943885803223,-0.16156502068042755,33.5155143737793,-0.4633443057537079,-0.0035781417973339558,-0.29191166162490845,-0.05795346200466156,0,4039.6486042196047,0.0,0.05518743291031569,1.0,-1.0,-0.2481619268655777,0.7392648458480835,-0.9645115733146667,2630,0.0
1216,103.098,0,37.19743347167969,0.43019165063110154,0.4349104096488671,182.3140869140625,-208.2435302734375,7084.6943359375,26.639999389648438,0.0,1.0,4,53343,-16.18170928955078,-0.15339861810207367,33.49295425415039,-0.4741249680519104,-0.002077327109873295,-0.22996629774570465,0.00865006260573864,0,4041.1001785371627,0.0,0.09865448519121855,1.0,-1.0,0.3260028660297394,0.7069849967956543,-0.87282395362854,2631,0.0
1217,103.14,0,37.3816032409668,0.4310525616051911,0.46885836258630104,181.65733337402344,-206.9042510986328,7147.9560546875,19.259998321533203,0.0,1.0,4,53347,-16.643037796020508,-0.19527649879455566,33.47171401977539,-0.48199760913848877,-0.005320640746504068,-0.19005104899406433,0.07800023257732391,0,4042.6763500354427,0.0,0.07139728113543242,1.0,-1.0,-0.2044290155172348,0.44886016845703125,-0.9157689809799194,2631,0.0
1218,103.179,0,37.54644775390625,0.4319344119275299,0.49599795009656106,180.98309326171875,-205.56314086914062,7208.677734375,46.35000228881836,0.0,1.0,4,53351,-17.018909454345703,-0.2949807941913605,33.46648406982422,-0.4897579848766327,-0.01265650987625122,-0.21748583018779755,0.06485462933778763,0,4044.1440567703394,0.0,0.17167987569700927,1.0,-1.0,0.7521194219589233,0.6043574810028076,-0.7508960962295532,2632,0.0
1219,103.218,0,37.718387603759766,0.4331406979834921,0.5164577411491286,180.29391479492188,-204.22401428222656,7193.3173828125,35.14500045776367,0.0,0.9640499949455261,4,53355,-17.426515579223633,-0.3610854744911194,33.44940948486328,-0.49978527426719666,-0.020564410835504532,-0.2587573826313019,0.054298993200063705,0,4045.6141662056907,0.0,0.13020073145162314,0.9280463606119156,-1.0,-0.3110935688018799,-0.14990341663360596,-0.8980304598808289,2633,0.0
